ID,lat,lon
83,47.443377,-122.296229
84,40.119161,-88.244185
85,43.608009,-116.197968
86,44.99574,-123.019758
87,38.2482,-122.0678
88,44.928439,-124.015824
89,43.083979,-89.363091
90,44.586123,-123.115389
91,35.249929,-120.689683
92,35.25982,-120.676
93,47.673347,-117.388933
94,47.65579218,-117.4236637
95,41.615759,-93.57875
96,41.682385,-93.698315
97,44.009797,-123.033213
98,29.756604,-95.372854
99,42.97167,-73.774182
100,34.950136,-81.93279
101,34.951926,-81.931714
102,34.715982,-81.624616
103,41.305794,-72.927405
104,41.355486,-72.093784
105,41.951328,-72.663078
106,42.592469,-87.915847
107,43.091229,-89.52884
108,41.503373,-81.639054
109,38.417603,-82.456866
110,38.694036,-90.4218
111,45.522609,-122.988535
112,45.520533,-122.978089
113,45.509326,-122.666392
114,40.74686,-111.876
115,38.92591,-94.72819
116,26.465314,-80.07219
117,47.545324,-122.0195
118,42.349249,-71.041557
119,34.00741493349311,-81.03480060447691
120,34.003323,-81.035693
121,34.008409,-81.041802
122,34.002255,-81.040219
123,34.84709,-82.387269
124,34.849724,-82.400667
125,34.849889,-82.397797
126,34.852754,-82.393113
127,33.997786,-81.036161
128,34.852789,-82.396195
129,34.85335,-82.394826
130,34.852437,-82.399901
131,34.925782,-81.028444
132,34.954788,-81.013242
133,34.716556,-81.648482
134,34.77993955183312,-81.4573590734024
135,34.019875,-118.49151
136,37.806798,-122.419488
137,34.010528,-118.4898
138,39.843886,-104.771138
139,42.372442,-71.122882
140,42.962078,-85.659019
141,40.507796,-88.982897
142,40.511172,-88.984985
143,47.761878,-122.191915
144,47.679224,-122.12995
145,47.672359,-122.099034
146,47.734211,-122.147041
147,43.011411,-89.459112
148,43.096636,-89.500008
149,35.778416,-78.64347
150,35.77435,-78.642287
151,30.20633,-97.75936
152,39.1458,-123.198497
153,36.910575,-80.31736
154,36.010279,-84.268049
155,35.558371,-86.448276
156,32.408909,-99.771463
157,35.159354,-101.938937
158,32.676458,-97.087169
159,30.374542,-97.731445
160,29.80725299717069,-94.97383364868772
161,30.062535,-94.133511
162,32.83907,-97.16206
163,30.639201,-96.30671
164,27.73082,-97.416019
165,32.64609,-96.86376
166,33.775328,-96.58308
167,31.783928,-106.417267
168,31.724024,-106.302211
169,32.72158,-97.47838
170,32.92823,-97.09447
171,26.186259,-97.734663
172,29.91328,-95.61141
173,29.67646,-95.42258
174,29.625565,-95.22531
175,29.78628,-95.6005
176,29.99016,-95.42236
177,29.990275,-95.275606
178,32.83590364848205,-96.93415799873353
179,29.775354,-95.817237
180,31.078549,-97.692745
181,27.528418,-99.458211
182,29.484543,-95.10255
183,33.022937,-96.988337
184,32.553772,-94.727241
185,33.535048,-101.958266
186,33.161606,-96.644662
187,32.829838,-96.629967
188,32.024113,-102.151567
189,29.953433,-94.0071
190,32.97135,-96.719803
191,29.534537,-95.772812
192,30.54315305,-97.69371065
193,31.44646,-100.496244
194,29.543147,-98.57544
195,29.517253,-98.467365
196,29.457047,-98.625324
197,29.556508,-98.34469
198,30.4963137,-97.6809454
199,30.314894,-94.18396
200,29.64607,-95.57668
