grid_lat,grid_lon,count
36.51,-4.93,1
36.51,-4.91,1
36.51,-4.9,1
36.51,-4.89,2
36.51,-4.72,1
36.52,-6.28,3
36.52,-5.05,3
36.52,-4.88,1
36.53,-6.3100000000000005,3
36.53,-6.3,2
36.53,-6.2,1
36.53,-4.63,1
36.54,-4.64,3
36.54,-4.63,2
36.550000000000004,-4.63,2
36.57,-4.59,1
36.58,-4.6000000000000005,2
36.58,-4.5600000000000005,1
36.58,-4.54,2
36.59,-6.23,2
36.59,-4.5600000000000005,1
36.59,-4.54,2
36.59,-4.53,4
36.6,-6.23,1
36.6,-4.5200000000000005,1
36.6,-4.51,2
36.61,-4.51,1
36.62,-4.5,1
36.63,-4.51,1
36.63,-4.5,1
36.65,-6.140000000000001,1
36.65,-4.49,1
36.65,-4.48,1
36.660000000000004,-4.48,1
36.67,-6.15,1
36.67,-4.49,1
36.68,-6.140000000000001,2
36.68,-6.13,1
36.68,-4.48,1
36.68,-4.47,2
36.68,-4.46,3
36.69,-6.16,2
36.69,-6.15,1
36.69,-6.140000000000001,1
36.69,-6.13,2
36.69,-6.12,1
36.69,-4.47,1
36.69,-4.44,1
36.69,-2.79,1
36.7,-6.13,1
36.7,-6.12,4
36.7,-6.04,1
36.7,-4.49,2
36.7,-4.48,1
36.7,-4.47,1
36.7,-4.45,1
36.7,-4.44,1
36.71,-4.49,2
36.71,-4.47,3
36.71,-4.45,1
36.71,-4.44,6
36.71,-4.43,2
36.71,-4.42,3
36.71,-4.37,1
36.71,-4.29,1
36.71,-4.26,1
36.71,14.76,1
36.72,-4.47,1
36.72,-4.45,1
36.72,-4.44,2
36.72,-4.43,3
36.72,-4.42,1
36.72,-4.41,5
36.72,-4.4,2
36.72,-4.39,1
36.72,-4.37,1
36.72,-4.26,1
36.72,14.68,1
36.72,14.73,1
36.730000000000004,-4.5600000000000005,2
36.730000000000004,-4.55,1
36.730000000000004,-4.45,1
36.730000000000004,-4.44,1
36.730000000000004,-4.43,1
36.730000000000004,-3.7,1
36.730000000000004,-3.69,1
36.730000000000004,-3.52,1
36.730000000000004,-3.5100000000000002,1
36.74,-4.49,1
36.74,-4.43,1
36.74,-4.1,1
36.74,-3.88,2
36.74,-3.54,2
36.74,-3.5300000000000002,2
36.74,-3.52,1
36.74,22.56,1
36.75,-4.43,2
36.75,-3.89,1
36.75,-2.81,2
36.75,-2.61,1
36.76,-2.62,2
36.76,-2.61,1
36.76,14.63,2
36.77,-4.11,1
36.77,-2.82,1
36.77,-2.81,1
36.77,-2.79,1
36.77,-2.61,1
36.77,14.69,1
36.78,-4.44,1
36.78,-4.11,2
36.78,14.540000000000001,2
36.78,14.55,2
36.78,14.56,3
36.79,14.700000000000001,4
36.79,14.89,1
36.800000000000004,-2.63,2
36.800000000000004,-2.6,1
36.81,-2.6,1
36.81,-2.59,3
36.81,-2.57,1
36.83,-2.62,2
36.83,-2.47,1
36.83,-2.46,1
36.83,-2.41,1
36.83,-2.33,1
36.83,14.76,2
36.83,14.77,1
36.84,-2.46,2
36.84,-2.45,1
36.84,14.76,1
36.85,-2.47,1
36.85,-2.46,1
36.85,-2.42,1
36.85,14.75,1
36.85,14.76,1
36.85,15.11,1
36.86,15.13,1
36.88,-2.45,3
36.88,-2.44,1
36.88,15.06,1
36.88,15.07,3
36.89,-4.44,1
36.89,-4.43,1
36.89,14.43,1
36.89,15.06,2
36.89,15.07,1
36.9,15.13,1
36.910000000000004,15.14,2
36.94,14.5,1
36.94,14.52,1
36.94,14.530000000000001,1
36.95,14.52,2
36.95,14.540000000000001,2
36.95,14.55,1
36.96,15.200000000000001,1
36.97,-3.56,1
36.97,15.19,1
36.980000000000004,-5.94,1
36.980000000000004,22.150000000000002,1
37.01,-7.94,4
37.01,-7.930000000000001,3
37.02,-8.03,1
37.02,-7.95,4
37.02,-7.94,2
37.02,-7.930000000000001,1
37.02,-7.92,1
37.02,-7.86,1
37.02,-7.8500000000000005,1
37.02,-4.57,1
37.02,-4.54,2
37.02,22.11,2
37.02,22.13,1
37.03,-8.03,1
37.03,-8.02,1
37.03,-7.97,1
37.03,-7.96,1
37.03,-7.9,1
37.03,-7.8500000000000005,1
37.03,-4.62,1
37.03,22.1,2
37.04,-8.07,1
37.04,-8.03,2
37.04,-8.02,2
37.04,-7.98,1
37.04,-7.9,1
37.04,22.11,1
37.050000000000004,-8.07,1
37.06,-8.11,2
37.06,-8.1,1
37.06,15.280000000000001,3
37.06,15.290000000000001,2
37.06,22.43,1
37.07,-8.290000000000001,1
37.07,-8.13,3
37.07,-8.120000000000001,7
37.07,-8.11,1
37.07,-8.1,1
37.07,14.24,1
37.07,15.16,2
37.07,15.26,1
37.07,15.280000000000001,5
37.07,15.290000000000001,1
37.07,22.05,1
37.07,22.400000000000002,1
37.07,22.42,1
37.07,22.44,1
37.08,-8.69,2
37.08,-8.68,1
37.08,-8.32,3
37.08,-8.27,2
37.08,-8.26,1
37.08,-8.25,1
37.08,-8.13,1
37.08,-8.120000000000001,3
37.08,-8.09,1
37.08,-8.040000000000001,2
37.08,-7.95,1
37.08,-3.65,1
37.08,15.25,1
37.08,15.26,3
37.08,15.280000000000001,3
37.08,15.290000000000001,2
37.09,-8.68,2
37.09,-8.47,1
37.09,-8.46,1
37.09,-8.45,1
37.09,-8.26,1
37.09,-8.25,3
37.09,-8.24,1
37.09,-8.23,1
37.09,-8.21,1
37.09,-8.19,1
37.09,-8.18,3
37.09,-8.1,1
37.09,-8.05,1
37.09,-8.0,2
37.09,-7.9,1
37.09,-7.8,1
37.09,-4.63,1
37.09,-4.4,1
37.09,-3.63,1
37.09,15.200000000000001,1
37.09,15.25,1
37.09,15.26,1
37.09,15.27,1
37.1,-8.69,3
37.1,-8.68,4
37.1,-8.38,2
37.1,-8.370000000000001,2
37.1,-8.15,1
37.1,-8.08,1
37.1,-8.01,1
37.11,-8.71,1
37.11,-8.69,1
37.11,-8.68,2
37.11,-8.67,1
37.11,-8.540000000000001,2
37.11,-8.25,1
37.11,-8.23,1
37.11,-8.16,1
37.11,-7.67,1
