ID,lat,lon,geometry
1759,51.590329,-3.215786,POINT (-3.215786 51.590329)
1760,51.485964,-3.222351,POINT (-3.222351 51.485964)
1761,51.48322,-3.21936,POINT (-3.21936 51.48322)
1762,51.48313,-3.20707,POINT (-3.20707 51.48313)
1763,51.48915,-3.2036,POINT (-3.2036 51.48915)
1764,51.48201,-3.19883,POINT (-3.19883 51.48201)
1765,51.4788,-3.1951,POINT (-3.1951 51.4788)
1766,50.765774,-3.285643,POINT (-3.285643 50.765774)
1767,51.524136,-3.242433,POINT (-3.242433 51.524136)
1768,51.466577,-3.274567,POINT (-3.274567 51.466577)
1769,50.790544,-3.202679,POINT (-3.202679 50.790544)
1770,51.5713,-3.244779,POINT (-3.244779 51.5713)
1771,51.782451,-3.207926,POINT (-3.207926 51.782451)
1772,51.7752,-3.20404,POINT (-3.20404 51.7752)
1773,51.6044,-3.23128,POINT (-3.23128 51.6044)
1774,51.574885,-3.21807,POINT (-3.21807 51.574885)
1775,51.595,-3.26841,POINT (-3.26841 51.595)
1776,51.72,-3.24059,POINT (-3.24059 51.72)
1777,51.49402,-3.21764,POINT (-3.21764 51.49402)
1778,51.48808,-3.19692,POINT (-3.19692 51.48808)
1779,51.4875,-3.20001,POINT (-3.20001 51.4875)
1780,51.722861,-3.284757,POINT (-3.284757 51.722861)
1781,51.464014,-3.274616,POINT (-3.274616 51.464014)
1782,50.796047,-3.218181,POINT (-3.218181 50.796047)
1783,50.79579,-3.218914,POINT (-3.218914 50.79579)
1784,50.9791,-3.23013,POINT (-3.23013 50.9791)
1785,50.773982,-3.21689,POINT (-3.21689 50.773982)
1786,53.274153,-3.305769,POINT (-3.305769 53.274153)
1787,53.274573,-3.221437,POINT (-3.221437 53.274573)
1788,53.27448,-3.220893,POINT (-3.220893 53.27448)
1789,55.924365,-3.25217,POINT (-3.25217 55.924365)
1790,55.917315,-3.315256,POINT (-3.315256 55.917315)
1791,55.955403,-3.287737,POINT (-3.287737 55.955403)
1792,55.961795,-3.261307,POINT (-3.261307 55.961795)
1793,55.955717,-3.293228,POINT (-3.293228 55.955717)
1794,56.054631,-3.300506,POINT (-3.300506 56.054631)
1795,56.35069,-3.2291,POINT (-3.2291 56.35069)
1796,56.350619,-3.230483,POINT (-3.230483 56.350619)
1797,56.39249,-3.27633,POINT (-3.27633 56.39249)
1798,55.967801,-3.236236,POINT (-3.236236 55.967801)
1799,57.64712,-3.31964,POINT (-3.31964 57.64712)
1800,57.64902,-3.31905,POINT (-3.31905 57.64902)
1801,57.646198,-3.319917,POINT (-3.319917 57.646198)
1802,57.64309,-3.31103,POINT (-3.31103 57.64309)
1803,57.6486,-3.30974,POINT (-3.30974 57.6486)
1804,57.64678,-3.314144,POINT (-3.314144 57.64678)
1805,57.649776,-3.312711,POINT (-3.312711 57.649776)
1806,57.651696,-3.317609,POINT (-3.317609 57.651696)
1807,55.94344,-3.24428,POINT (-3.24428 55.94344)
1808,56.135434,-3.205224,POINT (-3.205224 56.135434)
